prob_cancel,actual,risk_segment,recommended_action
0.27414265,0,✅ Safe,Tidak ada tindakan
0.2805759,0,✅ Safe,Tidak ada tindakan
0.7566069,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.61706364,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.602639,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.26266238,0,✅ Safe,Tidak ada tindakan
0.3477148,0,✅ Safe,Tidak ada tindakan
0.747866,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5839698,0,⚠️ Low Risk,Kirim reminder email
0.28839242,0,✅ Safe,Tidak ada tindakan
0.87498146,1,⚠️ High Risk,Minta deposit 100%
0.24910817,0,✅ Safe,Tidak ada tindakan
0.59777904,0,⚠️ Low Risk,Kirim reminder email
0.68468356,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.872294,1,⚠️ High Risk,Minta deposit 100%
0.7839516,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5277655,0,⚠️ Low Risk,Kirim reminder email
0.25790715,0,✅ Safe,Tidak ada tindakan
0.5608163,0,⚠️ Low Risk,Kirim reminder email
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.5608163,0,⚠️ Low Risk,Kirim reminder email
0.5608163,0,⚠️ Low Risk,Kirim reminder email
0.26266238,0,✅ Safe,Tidak ada tindakan
0.69662213,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.58173776,0,⚠️ Low Risk,Kirim reminder email
0.7566069,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.2836158,0,✅ Safe,Tidak ada tindakan
0.6162345,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6027252,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.31514615,0,✅ Safe,Tidak ada tindakan
0.58159065,0,⚠️ Low Risk,Kirim reminder email
0.44125256,0,✅ Safe,Tidak ada tindakan
0.25790715,0,✅ Safe,Tidak ada tindakan
0.2483955,0,✅ Safe,Tidak ada tindakan
0.25097314,0,✅ Safe,Tidak ada tindakan
0.7864075,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.598104,1,⚠️ Low Risk,Kirim reminder email
0.2740998,0,✅ Safe,Tidak ada tindakan
0.24713849,0,✅ Safe,Tidak ada tindakan
0.6038433,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.87498146,1,⚠️ High Risk,Minta deposit 100%
0.45723954,0,✅ Safe,Tidak ada tindakan
0.6637085,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.23467495,0,✅ Safe,Tidak ada tindakan
0.30958748,0,✅ Safe,Tidak ada tindakan
0.43128705,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.45723954,0,✅ Safe,Tidak ada tindakan
0.69662213,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.26882166,0,✅ Safe,Tidak ada tindakan
0.74757725,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5561539,0,⚠️ Low Risk,Kirim reminder email
0.45723954,1,✅ Safe,Tidak ada tindakan
0.78501475,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.598104,0,⚠️ Low Risk,Kirim reminder email
0.647885,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.7779871,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6068588,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.598104,1,⚠️ Low Risk,Kirim reminder email
0.26310143,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.29963648,0,✅ Safe,Tidak ada tindakan
0.8697799,1,⚠️ High Risk,Minta deposit 100%
0.7548784,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.45723954,0,✅ Safe,Tidak ada tindakan
0.6272852,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6056112,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.3164315,0,✅ Safe,Tidak ada tindakan
0.7482019,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.647885,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.66254455,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.25097314,0,✅ Safe,Tidak ada tindakan
0.2483955,0,✅ Safe,Tidak ada tindakan
0.2555635,0,✅ Safe,Tidak ada tindakan
0.74733657,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.73998886,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.26266238,0,✅ Safe,Tidak ada tindakan
0.28790006,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.58173776,1,⚠️ Low Risk,Kirim reminder email
0.624972,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.87498146,1,⚠️ High Risk,Minta deposit 100%
0.506813,1,⚠️ Low Risk,Kirim reminder email
0.87498146,1,⚠️ High Risk,Minta deposit 100%
0.76072603,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.73820585,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6863616,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.35525388,0,✅ Safe,Tidak ada tindakan
0.67992306,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.50710243,0,⚠️ Low Risk,Kirim reminder email
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.7305189,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.31286737,0,✅ Safe,Tidak ada tindakan
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.647885,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5782158,0,⚠️ Low Risk,Kirim reminder email
0.5172797,0,⚠️ Low Risk,Kirim reminder email
0.38943326,0,✅ Safe,Tidak ada tindakan
0.26310143,0,✅ Safe,Tidak ada tindakan
0.58384925,0,⚠️ Low Risk,Kirim reminder email
0.255386,0,✅ Safe,Tidak ada tindakan
0.26963252,0,✅ Safe,Tidak ada tindakan
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.6904844,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.78465927,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.28580892,0,✅ Safe,Tidak ada tindakan
0.8745662,1,⚠️ High Risk,Minta deposit 100%
0.87498146,1,⚠️ High Risk,Minta deposit 100%
0.57888675,0,⚠️ Low Risk,Kirim reminder email
0.26404628,0,✅ Safe,Tidak ada tindakan
0.5339715,0,⚠️ Low Risk,Kirim reminder email
0.7654598,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6046919,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.5782158,0,⚠️ Low Risk,Kirim reminder email
0.26744336,0,✅ Safe,Tidak ada tindakan
0.6863616,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.57888675,0,⚠️ Low Risk,Kirim reminder email
0.26882166,0,✅ Safe,Tidak ada tindakan
0.6286995,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.7566069,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.26963252,0,✅ Safe,Tidak ada tindakan
0.64935255,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.6329242,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.598104,0,⚠️ Low Risk,Kirim reminder email
0.6134469,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.65350825,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.87487376,1,⚠️ High Risk,Minta deposit 100%
0.32973173,0,✅ Safe,Tidak ada tindakan
0.25973356,0,✅ Safe,Tidak ada tindakan
0.76809144,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.4703321,0,✅ Safe,Tidak ada tindakan
0.24684191,0,✅ Safe,Tidak ada tindakan
0.26020232,0,✅ Safe,Tidak ada tindakan
0.87251866,1,⚠️ High Risk,Minta deposit 100%
0.69662213,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.31304887,0,✅ Safe,Tidak ada tindakan
0.5514957,0,⚠️ Low Risk,Kirim reminder email
0.5891612,0,⚠️ Low Risk,Kirim reminder email
0.29399806,1,✅ Safe,Tidak ada tindakan
0.499754,1,✅ Safe,Tidak ada tindakan
0.45723954,1,✅ Safe,Tidak ada tindakan
0.28812075,0,✅ Safe,Tidak ada tindakan
0.5782158,0,⚠️ Low Risk,Kirim reminder email
0.27248666,0,✅ Safe,Tidak ada tindakan
0.74757725,0,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.87476665,1,⚠️ High Risk,Minta deposit 100%
0.76809144,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.28813627,0,✅ Safe,Tidak ada tindakan
0.7769644,1,⚠️ Medium Risk,Tawarkan diskon non-refundable
0.58470327,0,⚠️ Low Risk,Kirim reminder email
0.8747759,1,⚠️ High Risk,Minta deposit 100%
0.8747759,1,⚠️ High Risk,Minta deposit 100%
