Model,ROC AUC (Test),F2 Score (Test),Precision (Test),Recall (Test),Resampling
Random Forest,0.8876489918349915,0.7671232876712328,0.6921467959688153,0.7884761182714177,SMOTE
Random Forest,0.8863406490115899,0.7651417864887055,0.687766108430315,0.7872847395212823,Random Oversampling
XGBoost,0.8911986822179947,0.765057947720159,0.6988987635239567,0.783602296111773,SMOTE
XGBoost,0.8910577201666445,0.7650128893208807,0.6966519145660959,0.7842521390663922,Random Oversampling
Random Forest,0.8863576311966795,0.7647950164155232,0.6866969009826153,0.7871764323621792,Random Undersampling
XGBoost,0.8912138318177796,0.7643116861153391,0.6971654454300038,0.7831690674753601,Random Undersampling
Decision Tree,0.8826168903766687,0.7639886738230074,0.6958237105465743,0.7831690674753601,SMOTE
Decision Tree,0.8783946172538577,0.7638976560198628,0.6853879554464791,0.7864182822484567,Random Undersampling
Decision Tree,0.8819668080918788,0.7624812807154457,0.6899513312338964,0.7830607603162569,Random Oversampling
Random Forest,0.8871395228633036,0.7165612092451006,0.7599021435228331,0.7064875988302827,No Resampling
Decision Tree,0.8826964061162753,0.7140344319605989,0.7597379810504152,0.7034549983753926,No Resampling
XGBoost,0.8915327973928493,0.7037151908549149,0.7740952845132204,0.6880753817827359,No Resampling
